"","cik","company.name","form.type","date.filed","url","file.path","file.name"
"462732","816761","TERADATA CORP /DE/","10-K","2019-02-26","edgar/data/816761/0000816761-19-000010.txt","Data/K10_220.txt","K10_220.txt"
"462901","818479","DENTSPLY SIRONA Inc.","10-K","2019-03-08","edgar/data/818479/0000818479-19-000010.txt","Data/K10_221.txt","K10_221.txt"
"463125","819793","ALBANY INTERNATIONAL CORP /DE/","10-K","2019-03-14","edgar/data/819793/0000891092-19-002857.txt","Data/K10_222.txt","K10_222.txt"
"463232","820027","AMERIPRISE FINANCIAL INC","10-K","2019-02-27","edgar/data/820027/0000820027-19-000010.txt","Data/K10_223.txt","K10_223.txt"
"463345","820313","AMPHENOL CORP /DE/","10-K","2019-02-13","edgar/data/820313/0001558370-19-000636.txt","Data/K10_224.txt","K10_224.txt"
"464325","823768","WASTE MANAGEMENT INC","10-K","2019-02-14","edgar/data/823768/0001558370-19-000662.txt","Data/K10_225.txt","K10_225.txt"
"466273","831259","FREEPORT-MCMORAN INC","10-K","2019-02-15","edgar/data/831259/0000831259-19-000009.txt","Data/K10_226.txt","K10_226.txt"
"466409","832101","IDEX CORP /DE/","10-K","2019-02-28","edgar/data/832101/0000832101-19-000005.txt","Data/K10_227.txt","K10_227.txt"
"467976","842162","LEAR CORP","10-K","2019-02-05","edgar/data/842162/0000842162-19-000006.txt","Data/K10_228.txt","K10_228.txt"
"469397","851968","MOHAWK INDUSTRIES INC","10-K","2019-02-28","edgar/data/851968/0000851968-19-000020.txt","Data/K10_229.txt","K10_229.txt"
"471076","861842","CATHAY GENERAL BANCORP","10-K","2019-03-04","edgar/data/861842/0001437749-19-003923.txt","Data/K10_230.txt","K10_230.txt"
"471113","861878","STERICYCLE INC","10-K","2019-02-28","edgar/data/861878/0001564590-19-005500.txt","Data/K10_231.txt","K10_231.txt"
"471159","861884","RELIANCE STEEL & ALUMINUM CO","10-K","2019-02-27","edgar/data/861884/0001558370-19-001202.txt","Data/K10_232.txt","K10_232.txt"
"472420","871763","ManpowerGroup Inc.","10-K","2019-02-22","edgar/data/871763/0000871763-19-000050.txt","Data/K10_233.txt","K10_233.txt"
"472512","872589","REGENERON PHARMACEUTICALS INC","10-K","2019-02-07","edgar/data/872589/0001532176-19-000009.txt","Data/K10_234.txt","K10_234.txt"
"473127","875320","VERTEX PHARMACEUTICALS INC / MA","10-K","2019-02-13","edgar/data/875320/0000875320-19-000006.txt","Data/K10_235.txt","K10_235.txt"
"474202","879169","INCYTE CORP","10-K","2019-02-14","edgar/data/879169/0001558370-19-000682.txt","Data/K10_236.txt","K10_236.txt"
"474495","880266","AGCO CORP /DE","10-K","2019-03-01","edgar/data/880266/0000880266-19-000009.txt","Data/K10_237.txt","K10_237.txt"
"474988","8818","Avery Dennison Corp","10-K","2019-02-27","edgar/data/8818/0001047469-19-000747.txt","Data/K10_238.txt","K10_238.txt"
"475325","882835","ROPER TECHNOLOGIES INC","10-K","2019-02-25","edgar/data/882835/0000882835-19-000010.txt","Data/K10_239.txt","K10_239.txt"
"475666","883980","FIRST DATA CORP","10-K","2019-02-27","edgar/data/883980/0000883980-19-000009.txt","Data/K10_240.txt","K10_240.txt"
"476447","885639","KOHLS Corp","10-K","2019-03-22","edgar/data/885639/0001564590-19-009005.txt","Data/K10_241.txt","K10_241.txt"
"476512","885725","BOSTON SCIENTIFIC CORP","10-K","2019-02-19","edgar/data/885725/0000885725-19-000011.txt","Data/K10_242.txt","K10_242.txt"
"479079","89089","SERVICE CORP INTERNATIONAL","10-K","2019-02-20","edgar/data/89089/0000089089-19-000005.txt","Data/K10_243.txt","K10_243.txt"
"481554","896159","Chubb Ltd","10-K","2019-02-28","edgar/data/896159/0000896159-19-000005.txt","Data/K10_244.txt","K10_244.txt"
"481767","896622","APTARGROUP INC","10-K","2019-02-21","edgar/data/896622/0001558370-19-000824.txt","Data/K10_245.txt","K10_245.txt"
"482078","89800","SHERWIN WILLIAMS CO","10-K","2019-02-22","edgar/data/89800/0000089800-19-000004.txt","Data/K10_246.txt","K10_246.txt"
"482146","898173","O REILLY AUTOMOTIVE INC","10-K","2019-02-27","edgar/data/898173/0000898173-19-000060.txt","Data/K10_247.txt","K10_247.txt"
"482189","898174","REINSURANCE GROUP OF AMERICA INC","10-K","2019-02-27","edgar/data/898174/0000898174-19-000011.txt","Data/K10_248.txt","K10_248.txt"
"484727","908255","BORGWARNER INC","10-K","2019-02-19","edgar/data/908255/0000908255-19-000014.txt","Data/K10_249.txt","K10_249.txt"
"486588","913241","STEVEN MADDEN, LTD.","10-K","2019-02-28","edgar/data/913241/0001628280-19-002264.txt","Data/K10_250.txt","K10_250.txt"
"486983","91440","SNAP-ON Inc","10-K","2019-02-14","edgar/data/91440/0000091440-19-000003.txt","Data/K10_251.txt","K10_251.txt"
"487215","91576","KEYCORP /NEW/","10-K","2019-02-25","edgar/data/91576/0000091576-19-000009.txt","Data/K10_252.txt","K10_252.txt"
"487503","916365","TRACTOR SUPPLY CO /DE/","10-K","2019-02-21","edgar/data/916365/0000916365-19-000035.txt","Data/K10_253.txt","K10_253.txt"
"487965","91767","SONOCO PRODUCTS CO","10-K","2019-02-28","edgar/data/91767/0000091767-19-000015.txt","Data/K10_254.txt","K10_254.txt"
"489729","92230","BB&T CORP","10-K","2019-02-26","edgar/data/92230/0000092230-19-000017.txt","Data/K10_255.txt","K10_255.txt"
"490922","927628","CAPITAL ONE FINANCIAL CORP","10-K","2019-02-20","edgar/data/927628/0000927628-19-000093.txt","Data/K10_256.txt","K10_256.txt"
"491875","931015","POLARIS INDUSTRIES INC/MN","10-K","2019-02-14","edgar/data/931015/0001628280-19-001394.txt","Data/K10_257.txt","K10_257.txt"
"492948","935703","DOLLAR TREE INC","10-K","2019-03-27","edgar/data/935703/0000935703-19-000024.txt","Data/K10_258.txt","K10_258.txt"
"493489","93751","STATE STREET CORP","10-K","2019-02-21","edgar/data/93751/0000093751-19-000336.txt","Data/K10_259.txt","K10_259.txt"
"494437","943452","WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP","10-K","2019-02-27","edgar/data/943452/0001628280-19-002095.txt","Data/K10_260.txt","K10_260.txt"
"496331","96943","TELEFLEX INC","10-K","2019-02-21","edgar/data/96943/0000096943-19-000021.txt","Data/K10_261.txt","K10_261.txt"
"496597","97476","TEXAS INSTRUMENTS INC","10-K","2019-02-22","edgar/data/97476/0001564590-19-003839.txt","Data/K10_262.txt","K10_262.txt"
"496742","98246","TIFFANY & CO","10-K","2019-03-22","edgar/data/98246/0000098246-19-000047.txt","Data/K10_263.txt","K10_263.txt"
"497811","1002047","NetApp, Inc.","10-K","2019-06-18","edgar/data/1002047/0001564590-19-022779.txt","Data/K10_264.txt","K10_264.txt"
"500880","101830","SPRINT Corp","10-K","2019-05-29","edgar/data/101830/0000101830-19-000022.txt","Data/K10_265.txt","K10_265.txt"
"516495","1087423","RED HAT INC","10-K","2019-04-24","edgar/data/1087423/0001087423-19-000012.txt","Data/K10_266.txt","K10_266.txt"
"517516","109198","TJX COMPANIES INC /DE/","10-K","2019-04-03","edgar/data/109198/0001628280-19-003834.txt","Data/K10_267.txt","K10_267.txt"
"550143","1286131","STONEMOR PARTNERS LP","10-K","2019-04-03","edgar/data/1286131/0001564590-19-010632.txt","Data/K10_268.txt","K10_268.txt"
"559848","1341439","ORACLE CORP","10-K","2019-06-21","edgar/data/1341439/0001564590-19-023119.txt","Data/K10_269.txt","K10_269.txt"
"571868","1403568","Ulta Beauty, Inc.","10-K","2019-04-02","edgar/data/1403568/0001558370-19-002739.txt","Data/K10_270.txt","K10_270.txt"
"586072","14693","BROWN FORMAN CORP","10-K","2019-06-13","edgar/data/14693/0000014693-19-000099.txt","Data/K10_271.txt","K10_271.txt"
"621081","1613103","Medtronic plc","10-K","2019-06-21","edgar/data/1613103/0001613103-19-000028.txt","Data/K10_272.txt","K10_272.txt"
"628266","1637459","Kraft Heinz Co","10-K","2019-06-07","edgar/data/1637459/0001637459-19-000049.txt","Data/K10_273.txt","K10_273.txt"
"645522","1688568","DXC Technology Co","10-K","2019-06-13","edgar/data/1688568/0001688568-19-000055.txt","Data/K10_274.txt","K10_274.txt"
"695174","353184","AIR T INC","10-K","2019-06-28","edgar/data/353184/0001437749-19-013061.txt","Data/K10_275.txt","K10_275.txt"
"699293","56873","KROGER CO","10-K","2019-04-02","edgar/data/56873/0001558370-19-002756.txt","Data/K10_276.txt","K10_276.txt"
"699679","60667","LOWES COMPANIES INC","10-K","2019-04-02","edgar/data/60667/0000060667-19-000042.txt","Data/K10_277.txt","K10_277.txt"
"704355","719955","WILLIAMS SONOMA INC","10-K","2019-04-04","edgar/data/719955/0001193125-19-097973.txt","Data/K10_278.txt","K10_278.txt"
"707523","743988","XILINX INC","10-K","2019-05-10","edgar/data/743988/0000743988-19-000012.txt","Data/K10_279.txt","K10_279.txt"
